task,model,metric,primary_metric,relationship,countries,point_correlation,bootstrap_mean_correlation,ci_low,ci_high,confidence,valid_resamples,positive_ci
classification,LogReg,auc_gain,True,all_europe,17,0.849781328236468,0.8344423075184701,0.7737943198428262,0.884363547760729,0.95,2000,True
classification,LogReg,auc_gain,True,without_lithuania,16,0.8675239321184353,0.8511028153711475,0.7905364193985317,0.9000041035412532,0.95,2000,True
classification,LogReg,brier_reduction,False,all_europe,17,0.6401319718237007,0.6327916565581546,0.5695441766799296,0.6887467651524458,0.95,2000,True
classification,LogReg,brier_reduction,False,without_lithuania,16,0.6382809459353284,0.6319159029845738,0.5689414798309701,0.6872569995098826,0.95,2000,True
classification,RandForest,auc_gain,True,all_europe,17,0.8807740932171244,0.8506853493053687,0.7677191451865403,0.9131326912709152,0.95,2000,True
classification,RandForest,auc_gain,True,without_lithuania,16,0.8922316424621047,0.8606229484127357,0.7739696210885136,0.9230348615391606,0.95,2000,True
classification,RandForest,brier_reduction,False,all_europe,17,0.6565349348669528,0.6473172107697042,0.5755476269924721,0.7124375790569276,0.95,2000,True
classification,RandForest,brier_reduction,False,without_lithuania,16,0.6471822538069825,0.6390460482304738,0.566059042906252,0.7047710051423807,0.95,2000,True
regression,GradientBoosting,mae_reduction,False,all_europe,17,0.8850091601950175,0.8790563932026797,0.8444035515334285,0.9090045930588296,0.95,2000,True
regression,GradientBoosting,mae_reduction,False,without_lithuania,16,0.8824252011608945,0.8775116465335189,0.8414218101499512,0.9086485247566372,0.95,2000,True
regression,GradientBoosting,r2_gain,True,all_europe,17,0.8144438304735626,0.8037425392290286,0.7487463881902262,0.8532500413680713,0.95,2000,True
regression,GradientBoosting,r2_gain,True,without_lithuania,16,0.8163105453912426,0.8063683183462935,0.7517310424951202,0.856566520588494,0.95,2000,True
regression,LightGBM,mae_reduction,False,all_europe,17,0.8841501854483628,0.8778858637803483,0.8425410355897167,0.9076916472432034,0.95,2000,True
regression,LightGBM,mae_reduction,False,without_lithuania,16,0.8811851092714745,0.876021358518524,0.8392156223826652,0.9067391681696164,0.95,2000,True
regression,LightGBM,r2_gain,True,all_europe,17,0.808700474469937,0.79754302670929,0.7435784883323533,0.8477515074014778,0.95,2000,True
regression,LightGBM,r2_gain,True,without_lithuania,16,0.809479953014424,0.7990633829563564,0.7442037656307698,0.8485282668596059,0.95,2000,True
