scheme,resolution_deg,task,model,countries,gain_vs_wind_minus_solar_r,gain_vs_log_native_points_r,wind_minus_solar_vs_log_native_points_r,partial_gain_vs_wind_minus_solar_controlling_log_native_points_r
capacity,0.25,classification,LogReg,17,0.849781328236468,0.2731114343079139,0.1370400753623412,0.8525013155543323
capacity,0.25,classification,RandForest,17,0.8807740932171245,0.2430651962920816,0.1370400753623412,0.8819867958944538
capacity,0.25,regression,GradientBoosting,17,0.8144438304735624,0.2414309759557611,0.1370400753623412,0.8128456466378767
capacity,0.25,regression,LightGBM,17,0.808700474469937,0.2657880390623185,0.1370400753623412,0.8087207788653288
capacity,0.5,classification,LogReg,17,0.848701488200369,0.2731916643505472,0.1370400753623411,0.8513767328369677
capacity,0.5,classification,RandForest,17,0.8807126857101514,0.246761753692038,0.1370400753623411,0.8822449644762982
capacity,0.5,regression,GradientBoosting,17,0.8147467693763315,0.2427005534275504,0.1370400753623412,0.8132452398485427
capacity,0.5,regression,LightGBM,17,0.8090619056994035,0.2653855932465445,0.1370400753623412,0.8090639757021182
capacity,1.0,classification,LogReg,17,0.8478567582144956,0.2752447691461139,0.1370400753623412,0.8507127016152529
capacity,1.0,classification,RandForest,17,0.8754040240557343,0.2390802449703274,0.1370400753623412,0.8760723159040051
capacity,1.0,regression,GradientBoosting,17,0.8126465030728931,0.2467309913721582,0.1370400753623412,0.8113356079631067
capacity,1.0,regression,LightGBM,17,0.8064626772202079,0.270321286887081,0.1370400753623412,0.8067824061954986
capacity,2.0,classification,LogReg,17,0.8384524174474215,0.2679675335711614,0.1370400753623412,0.8400899035689936
capacity,2.0,classification,RandForest,17,0.8028301420601214,0.1759887756981635,0.1370400753623411,0.7985936729396305
capacity,2.0,regression,GradientBoosting,17,0.7974923154868482,0.2498399317485446,0.1370400753623411,0.795759536828554
capacity,2.0,regression,LightGBM,17,0.7900348218323726,0.2750343100310843,0.1370400753623412,0.7899755625708418
uniform,0.25,classification,LogReg,17,0.8406287635142861,0.2284371297928517,0.1370400753623412,0.8392221599710293
uniform,0.25,classification,RandForest,17,0.8742655450610969,0.1850041750821733,0.1370400753623412,0.8720514863462436
uniform,0.25,regression,GradientBoosting,17,0.8006848145403836,0.1793512056826066,0.1370400753623412,0.796412159136593
uniform,0.25,regression,LightGBM,17,0.7906257857922622,0.1966858930365472,0.1370400753623412,0.786304658845039
uniform,0.5,classification,LogReg,17,0.8392349270086943,0.2281954471320699,0.1370400753623412,0.837762403892107
uniform,0.5,classification,RandForest,17,0.8680962375129827,0.1855072146354556,0.1370400753623412,0.865726746641613
uniform,0.5,regression,GradientBoosting,17,0.7995129244203891,0.1733940924270429,0.1370400753623412,0.7951845525762449
uniform,0.5,regression,LightGBM,17,0.7910172893676958,0.1957865134640511,0.1370400753623412,0.7866902513743262
uniform,1.0,classification,LogReg,17,0.8397339055487891,0.2316459702070118,0.1370400753623412,0.8384915369260043
uniform,1.0,classification,RandForest,17,0.8690334306698249,0.1896287194684092,0.1370400753623412,0.8668035683221773
uniform,1.0,regression,GradientBoosting,17,0.7953927592658301,0.1776485110782552,0.1370400753623412,0.7909727356960669
uniform,1.0,regression,LightGBM,17,0.7879120005855107,0.2016071150532859,0.1370400753623412,0.783615344537792
uniform,2.0,classification,LogReg,17,0.8385802318909875,0.232929251306124,0.1370400753623411,0.8373756198630079
uniform,2.0,classification,RandForest,17,0.8119913498578737,0.0687584061215172,0.1370400753623412,0.8121346870776179
uniform,2.0,regression,GradientBoosting,17,0.7877538793328968,0.1866582266382933,0.1370400753623412,0.783198216667827
uniform,2.0,regression,LightGBM,17,0.7755182877056171,0.2156600942840878,0.1370400753623411,0.7712169332862804
