analysis,model,era,metric,value,n
primary,RandForest,pre,median_weather_plus_calendar_AUC,0.8596942384994412,13
primary,RandForest,pre,median_weather_gain_AUC,0.1796702987472161,13
primary,RandForest,pre,countries_positive_gain,10.0,13
primary,RandForest,covid,median_weather_plus_calendar_AUC,0.9502368513112844,13
primary,RandForest,covid,median_weather_gain_AUC,0.2582367388670942,13
primary,RandForest,covid,countries_positive_gain,13.0,13
primary,RandForest,post,median_weather_plus_calendar_AUC,0.927965048830568,19
primary,RandForest,post,median_weather_gain_AUC,0.1118545007983613,19
primary,RandForest,post,countries_positive_gain,17.0,19
pre_post,RandForest,post-minus-pre,mean_gain_change_AUC,0.0230999207564027,13
pre_post,RandForest,post-minus-pre,median_gain_change_AUC,0.0335917425863701,13
pre_post,RandForest,post-minus-pre,wilcoxon_p,0.167724609375,13
primary,GradientBoosting,pre,median_weather_plus_calendar_$R^2$,0.5576602924424165,19
primary,GradientBoosting,pre,median_weather_gain_$R^2$,0.5070074392643074,19
primary,GradientBoosting,pre,countries_positive_gain,15.0,19
primary,GradientBoosting,covid,median_weather_plus_calendar_$R^2$,0.6741504603689672,19
primary,GradientBoosting,covid,median_weather_gain_$R^2$,0.5187721220828937,19
primary,GradientBoosting,covid,countries_positive_gain,15.0,19
primary,GradientBoosting,post,median_weather_plus_calendar_$R^2$,0.6253021062209567,19
primary,GradientBoosting,post,median_weather_gain_$R^2$,0.3187270403274753,19
primary,GradientBoosting,post,countries_positive_gain,16.0,19
pre_post,GradientBoosting,post-minus-pre,mean_gain_change_$R^2$,-0.0602945958652325,19
pre_post,GradientBoosting,post-minus-pre,median_gain_change_$R^2$,-0.0338788242117897,19
pre_post,GradientBoosting,post-minus-pre,wilcoxon_p,0.2253227233886718,19
weighting,RandForest,pre,mean_capacity_minus_uniform_AUC,0.0247939704096193,13
weighting,RandForest,pre,countries_capacity_better,13.0,13
weighting,RandForest,covid,mean_capacity_minus_uniform_AUC,0.0254148158226585,13
weighting,RandForest,covid,countries_capacity_better,12.0,13
weighting,RandForest,post,mean_capacity_minus_uniform_AUC,0.0173766152558769,19
weighting,RandForest,post,countries_capacity_better,15.0,19
weighting,GradientBoosting,pre,mean_capacity_minus_uniform_$R^2$,0.0509389561693075,19
weighting,GradientBoosting,pre,countries_capacity_better,15.0,19
weighting,GradientBoosting,covid,mean_capacity_minus_uniform_$R^2$,0.070638235545994,19
weighting,GradientBoosting,covid,countries_capacity_better,17.0,19
weighting,GradientBoosting,post,mean_capacity_minus_uniform_$R^2$,0.0434617557979248,19
weighting,GradientBoosting,post,countries_capacity_better,18.0,19
workload,all,pre,point_hours_pct_at_0.25deg,100.0,19
workload,all,pre,point_hours_pct_at_0.5deg,25.926207105982385,19
workload,all,pre,point_hours_pct_at_1deg,6.969328879441239,19
workload,all,pre,point_hours_pct_at_2deg,2.019435165502581,19
workload,all,covid,point_hours_pct_at_0.25deg,100.0,19
workload,all,covid,point_hours_pct_at_0.5deg,25.926207105982385,19
workload,all,covid,point_hours_pct_at_1deg,6.969328879441239,19
workload,all,covid,point_hours_pct_at_2deg,2.019435165502581,19
workload,all,post,point_hours_pct_at_0.25deg,100.0,19
workload,all,post,point_hours_pct_at_0.5deg,25.926207105982385,19
workload,all,post,point_hours_pct_at_1deg,6.969328879441239,19
workload,all,post,point_hours_pct_at_2deg,2.019435165502581,19
