code,weather_csv,rows,train_rows,test_rows,test_start,test_end,task,model,metric,calendar_score,both_score,gain,evaluation_wall_s,resolution_deg,scheme,capacity_layout,capacity_years,capacity_dir,run_id,workers,calendar_mae,both_mae,mae_reduction,era,era_label,source_model_results
at,data/country_weather_by_era/covid/weather_era5_at_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.8252015639443886,0.9201131329291512,0.0949115689847625,4.770152417011559,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
be,data/country_weather_by_era/covid/weather_era5_be_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.6305685207454361,0.9724367989455732,0.3418682782001372,4.731248083990067,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
bg,data/country_weather_by_era/covid/weather_era5_bg_capacity_0p25deg.csv,17541,14032,3509,2021-08-07 17:00:00+00:00,2021-12-31 21:00:00+00:00,classification,LogReg,auc,,,,0.5330742920050398,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
cz,data/country_weather_by_era/covid/weather_era5_cz_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,,,,0.5099879589979537,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
de,data/country_weather_by_era/covid/weather_era5_de_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.585276150891114,0.9689356641957746,0.3836595133046606,4.63103162497282,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
dk,data/country_weather_by_era/covid/weather_era5_dk_capacity_0p25deg.csv,17542,14033,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.5858872060903142,0.9840418672469756,0.3981546611566615,5.238850541994907,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
es,data/country_weather_by_era/covid/weather_era5_es_capacity_0p25deg.csv,17542,14033,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.7331941398997199,0.9493429075436008,0.2161487676438809,4.781319625035394,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
fr,data/country_weather_by_era/covid/weather_era5_fr_capacity_0p25deg.csv,17532,14025,3507,2021-08-07 16:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,,,,1.6137695409706794,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
gr,data/country_weather_by_era/covid/weather_era5_gr_capacity_0p25deg.csv,17538,14030,3508,2021-08-07 18:00:00+00:00,2021-12-31 21:00:00+00:00,classification,LogReg,auc,0.6948988555054071,0.9420364242525038,0.2471375687470967,4.699759291019291,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
hr,data/country_weather_by_era/covid/weather_era5_hr_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.8521859156885896,0.9134641294534342,0.0612782137648446,5.0896780409966595,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
ie,data/country_weather_by_era/covid/weather_era5_ie_capacity_0p25deg.csv,17235,13788,3447,2021-08-03 14:00:00+00:00,2021-12-31 23:00:00+00:00,classification,LogReg,auc,0.6518501278508062,0.9847104104227578,0.3328602825719515,4.452663499978371,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
lt,data/country_weather_by_era/covid/weather_era5_lt_capacity_0p25deg.csv,17542,14033,3509,2021-08-07 17:00:00+00:00,2021-12-31 21:00:00+00:00,classification,LogReg,auc,0.8506846515430206,0.9953607193950542,0.1446760678520335,4.344740541011561,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
lv,data/country_weather_by_era/covid/weather_era5_lv_capacity_0p25deg.csv,17531,14024,3507,2021-08-07 16:00:00+00:00,2021-12-31 21:00:00+00:00,classification,LogReg,auc,0.8064592563679278,0.8089653997483344,0.0025061433804065,4.829269415989984,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
nl,data/country_weather_by_era/covid/weather_era5_nl_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,,,,0.37310275004711,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
pt,data/country_weather_by_era/covid/weather_era5_pt_capacity_0p25deg.csv,17544,14035,3509,2021-08-07 19:00:00+00:00,2021-12-31 23:00:00+00:00,classification,LogReg,auc,0.7708984124158149,0.9272180004580026,0.1563195880421877,5.190962875029072,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
ro,data/country_weather_by_era/covid/weather_era5_ro_capacity_0p25deg.csv,17465,13972,3493,2021-08-07 23:00:00+00:00,2021-12-31 21:00:00+00:00,classification,LogReg,auc,0.3779077669256085,0.8807112686378233,0.5028035017122148,5.2478584999917075,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
rs,data/country_weather_by_era/covid/weather_era5_rs_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,,,,0.4616895420476794,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
si,data/country_weather_by_era/covid/weather_era5_si_capacity_0p25deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.6493098365049584,0.5987670865719646,-0.0505427499329937,5.11185912496876,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
sk,data/country_weather_by_era/covid/weather_era5_sk_capacity_0p25deg.csv,17521,14016,3505,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,,,,0.5246366250212304,0.25,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
at,data/country_weather_by_era/covid/weather_era5_at_capacity_0p5deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.8252015639443886,0.919874718477086,0.0946731545326974,4.928450209030416,0.5,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
be,data/country_weather_by_era/covid/weather_era5_be_capacity_0p5deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.6305685207454361,0.9722465673385918,0.3416780465931557,4.758783333003521,0.5,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
bg,data/country_weather_by_era/covid/weather_era5_bg_capacity_0p5deg.csv,17541,14032,3509,2021-08-07 17:00:00+00:00,2021-12-31 21:00:00+00:00,classification,LogReg,auc,,,,0.5122051250073127,0.5,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
cz,data/country_weather_by_era/covid/weather_era5_cz_capacity_0p5deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,,,,0.485064709035214,0.5,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
de,data/country_weather_by_era/covid/weather_era5_de_capacity_0p5deg.csv,17543,14034,3509,2021-08-07 18:00:00+00:00,2021-12-31 22:00:00+00:00,classification,LogReg,auc,0.585276150891114,0.9688941739552424,0.3836180230641285,4.9656292499857955,0.5,capacity,annual,"2020,2021",data/capacity_weights_pre_and_covid_by_year,20260723T010736Z-c3284c32,8,,,,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/model_results.csv
