scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation,era,era_label,source_summary
capacity,0.25,classification,LogReg,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,all_europe,10,0.8086469697803985,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,classification,LogReg,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,without_lithuania,9,0.8137276797826071,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,classification,RandForest,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,all_europe,10,0.7242374919143898,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,classification,RandForest,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,without_lithuania,9,0.7426178229180191,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,all_europe,16,0.5545188846195908,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,without_lithuania,15,0.571523808482652,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,all_europe,16,0.5619123949147171,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,34.02005820593331,27.279313125065528,13172,461863008,682.328125,19,without_lithuania,15,0.5785936511420933,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,classification,LogReg,19,0.0006956840542605,0.0017551424621923,0.0080969853785832,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,all_europe,10,0.8095019833185052,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,classification,LogReg,19,0.0006956840542605,0.0017551424621923,0.0080969853785832,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,without_lithuania,9,0.8147182194227425,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,classification,RandForest,19,0.0020799425086563,0.0063163701307331,0.0074506569998734,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,all_europe,10,0.7147373293677496,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,classification,RandForest,19,0.0020799425086563,0.0063163701307331,0.0074506569998734,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,without_lithuania,9,0.7331657308196248,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,regression,GradientBoosting,19,0.0030883112469409,0.04108777342284,0.0090748207357513,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,all_europe,16,0.5631955235119397,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,regression,GradientBoosting,19,0.0030883112469409,0.04108777342284,0.0090748207357513,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,without_lithuania,15,0.5809277578873534,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,regression,LightGBM,19,0.0041912665052674,0.0396398930729184,0.0090139949138082,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,all_europe,16,0.5695589321790645,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.5,regression,LightGBM,19,0.0041912665052674,0.0396398930729184,0.0090139949138082,19,24.28711629100144,19.237150003027637,3415,119743560,667.46875,19,without_lithuania,15,0.5870802502709714,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,classification,LogReg,19,0.0014219034272526,0.0132735710111473,0.0042230272338138,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,all_europe,10,0.8137515422656046,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,classification,LogReg,19,0.0014219034272526,0.0132735710111473,0.0042230272338138,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,without_lithuania,9,0.819476809895629,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,classification,RandForest,19,0.0057475396645278,0.0960098335854764,0.0399981091158369,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,all_europe,10,0.7053025367554019,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,classification,RandForest,19,0.0057475396645278,0.0960098335854764,0.0399981091158369,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,without_lithuania,9,0.7234012944763394,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,regression,GradientBoosting,19,0.0036444558634528,0.0887480122540656,0.0150421807454205,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,all_europe,16,0.5498982113275955,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,regression,GradientBoosting,19,0.0036444558634528,0.0887480122540656,0.0150421807454205,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,without_lithuania,15,0.5666925088416825,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,regression,LightGBM,19,0.0053467423407421,0.1207731239560597,0.0125445356289002,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,all_europe,16,0.5406932421523359,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,1.0,regression,LightGBM,19,0.0053467423407421,0.1207731239560597,0.0125445356289002,19,22.68872025306337,17.045049041102175,918,32188752,667.46875,19,without_lithuania,15,0.555353855237234,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,classification,LogReg,19,0.0011936407501454,0.0312386785050438,0.030019398642091,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,all_europe,10,0.8079250579311349,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,2.0,classification,LogReg,19,0.0011936407501454,0.0312386785050438,0.030019398642091,19,21.545568460132927,15.311316542036366,266,9327024,670.34375,19,without_lithuania,9,0.8138581443304559,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
